Confidence	TP_FP
0.99746394	TP
0.9999962	TP
0.999493	TP
0.9999833	TP
0.99792224	TP
0.9999927	TP
0.93642503	TP
0.9741684	TP
0.99973327	TP
0.99999416	TP
0.9743779	TP
0.92969406	TP
0.99699163	TP
0.9675472	TP
0.71505684	TP
0.98877174	TP
0.8610305	TP
0.9988746	TP
0.9991794	TP
0.9979791	TP
0.99922276	TP
0.99941504	TP
0.99735236	TP
0.9994079	TP
0.99794155	TP
0.92192686	TP
0.9731899	TP
0.94778544	TP
0.9999993	TP
0.9996792	TP
0.9926111	TP
0.9999527	TP
0.9999876	TP
0.94050324	FP
0.96574533	FP
0.913689	FP
0.9986299	TP
0.99959046	TP
0.9999893	TP
0.8486381	FP
0.7136647	FP
0.9474059	TP
0.9980761	TP
0.99923515	TP
0.9996978	TP
0.9985459	TP
0.9980515	TP
0.942697	FP
0.8587707	TP
0.91436255	TP
0.9762005	TP
0.81723475	TP
0.7272882	TP
0.99988306	TP
0.99754924	TP
0.89165366	FP
0.9974221	TP
0.9999043	TP
0.9999999	TP
0.78799003	FP
0.9999484	TP
0.99997485	TP
0.9985638	TP
0.9999989	TP
0.9999924	TP
0.9998288	TP
0.99986005	TP
0.9989672	TP
0.9999925	TP
0.7363813	FP
0.7408888	FP
0.9998154	TP
0.99821955	TP
0.9993498	TP
0.9999876	TP
0.97969806	TP
0.9993062	TP
0.99937564	TP
0.9859984	FP
0.9920556	TP
0.9999975	TP
0.99999	TP
0.99962425	TP
1.0	TP
0.8752276	TP
0.9995478	TP
0.99987197	TP
0.99976605	TP
0.9998945	TP
0.9957137	TP
0.9996321	TP
0.9943778	TP
0.9984586	TP
0.98266935	TP
0.82993996	TP
0.9999306	TP
0.9965714	TP
0.9867372	TP
0.9991779	TP
0.9999881	TP
0.999985	TP
0.91002357	FP
0.9886424	TP
0.76862204	FP
0.9992292	TP
0.99933416	TP
0.9046393	FP
0.98089397	FP
0.99865425	TP
0.97518015	TP
0.8031863	TP
0.92223436	TP
0.7849067	FP
0.9995877	TP
0.9999888	TP
0.99957937	TP
0.9982431	TP
0.9805891	TP
0.9963146	TP
0.99985194	TP
0.99968064	TP
0.99999833	TP
0.9999373	TP
0.998309	TP
0.99961394	TP
0.9978536	TP
0.9998135	TP
0.99990416	TP
0.8213611	TP
0.90237814	TP
0.94663674	TP
0.8091605	TP
0.82316107	TP
0.9910948	TP
0.9874742	TP
0.94818825	TP
0.9337448	TP
0.9949675	TP
0.93487257	TP
0.9346043	TP
0.87644917	TP
0.99652547	TP
0.998323	TP
0.99697363	TP
0.9705847	TP
0.9897188	TP
0.98021406	TP
0.9839225	TP
0.9917675	TP
0.9906495	TP
0.7910383	TP
0.91566515	TP
0.82303876	TP
0.93265605	TP
0.7396304	TP
0.9859255	TP
0.95821947	TP
0.95664513	TP
0.9987141	TP
0.7034665	TP
0.99797696	TP
0.99837303	FP
0.7777393	TP
0.9942211	TP
0.9902194	TP
0.96087545	TP
0.8528948	TP
0.98115987	TP
0.9744883	TP
0.87018186	TP
0.95272386	TP
0.96608615	TP
0.9904497	TP
0.8619587	TP
0.9976986	TP
0.9919951	TP
0.90024954	TP
0.98049337	TP
0.92586887	TP
0.99851805	TP
0.9925764	TP
0.89214855	TP
0.96619195	TP
0.9881639	TP
0.9888272	TP
0.9868509	TP
0.8622155	TP
0.9943587	TP
0.92549855	TP
0.9368443	TP
0.9795013	TP
0.97680104	TP
0.9468631	TP
0.94744235	TP
0.9940877	TP
0.9543308	TP
0.98966277	TP
0.7678594	TP
0.9747866	TP
0.9945602	TP
0.86787695	TP
0.98616886	TP
0.997781	TP
0.8387614	TP
0.99947006	TP
0.9955793	TP
0.8421609	TP
0.91541094	TP
0.8267216	TP
0.9971731	TP
0.9997869	TP
0.8229146	TP
0.986931	TP
0.94721466	TP
0.7288514	TP
0.8810247	TP
0.985578	TP
0.9883058	TP
0.97157526	TP
0.9721539	TP
0.9995561	FP
0.9343589	TP
0.9958735	TP
0.99754816	TP
0.990928	TP
0.9862585	TP
0.7272196	TP
0.9714749	TP
0.97710776	TP
0.96786755	TP
0.7427984	TP
0.8111124	TP
0.84110117	TP
0.77396536	TP
0.936834	TP
0.9963451	TP
0.935995	TP
0.7587512	TP
0.92062634	TP
0.9658486	TP
0.9738888	TP
0.92171377	TP
0.7724387	TP
0.9990546	TP
0.99959856	TP
0.9994618	TP
0.99854136	TP
0.99875784	TP
0.9989643	TP
0.9986173	TP
0.99140525	TP
0.9810043	TP
0.99999356	TP
0.99913675	TP
0.9999989	TP
0.99972326	TP
1.0	TP
0.9999896	TP
0.99993324	TP
0.99987674	TP
0.99995244	TP
0.99999464	TP
0.99824107	TP
0.84173065	TP
0.9992859	TP
0.9994677	TP
0.99951684	TP
0.99550724	TP
0.98325837	TP
0.99823344	TP
0.9998803	TP
0.99801934	TP
0.9950959	TP
0.9992986	TP
0.99846894	TP
0.9999914	TP
0.99982435	TP
0.9965693	TP
0.9994431	TP
0.99954575	TP
0.9999608	TP
