Confidence	TP_FP@25	TP_FP@50	TP_FP@75
0.99746394	True	True	True
0.9999962	True	True	True
0.999493	True	True	True
0.9999833	True	True	True
0.99792224	True	True	True
0.9999927	True	True	True
0.93642503	True	True	True
0.9741684	True	True	True
0.99973327	True	True	True
0.99999416	True	True	True
0.9743779	True	True	True
0.92969406	True	True	False
0.99699163	True	True	True
0.9675472	True	True	False
0.71505684	True	True	False
0.98877174	True	True	False
0.8610305	True	True	False
0.9988746	True	True	True
0.9991794	True	True	True
0.9979791	True	True	True
0.99922276	True	True	True
0.99941504	True	True	True
0.99735236	True	True	True
0.9994079	True	True	True
0.99794155	True	True	True
0.92192686	True	True	True
0.9731899	True	True	True
0.94778544	True	True	False
0.9999993	True	True	True
0.9996792	True	True	True
0.9926111	True	True	False
0.9999527	True	True	True
0.9999876	True	True	True
0.94050324	True	False	False
0.96574533	False	False	False
0.913689	False	False	False
0.9986299	True	True	True
0.99959046	True	True	True
0.9999893	True	True	True
0.8486381	True	False	False
0.7136647	False	False	False
0.9474059	True	True	False
0.9980761	True	True	False
0.99923515	True	True	True
0.9996978	True	True	True
0.9985459	True	True	True
0.9980515	True	True	True
0.942697	True	False	False
0.8587707	True	True	True
0.91436255	True	True	False
0.9762005	True	True	True
0.81723475	True	True	False
0.7272882	True	True	False
0.99988306	True	True	False
0.99754924	True	True	False
0.89165366	True	False	False
0.9974221	True	True	True
0.9999043	True	True	True
0.9999999	True	True	True
0.78799003	False	False	False
0.9999484	True	True	True
0.99997485	True	True	True
0.9985638	True	True	True
0.9999989	True	True	True
0.9999924	True	True	True
0.9998288	True	True	True
0.99986005	True	True	True
0.9989672	True	True	False
0.9999925	True	True	True
0.7363813	False	False	False
0.7408888	False	False	False
0.9998154	True	True	True
0.99821955	True	True	True
0.9993498	True	True	True
0.9999876	True	True	False
0.97969806	True	True	True
0.9993062	True	True	False
0.99937564	True	True	True
0.9859984	False	False	False
0.9920556	True	True	True
0.9999975	True	True	True
0.99999	True	True	True
0.99962425	True	True	True
1.0	True	True	True
0.8752276	True	True	False
0.9995478	True	True	True
0.99987197	True	True	True
0.99976605	True	True	True
0.9998945	True	True	True
0.9957137	True	True	True
0.9996321	True	True	True
0.9943778	True	True	True
0.9984586	True	True	True
0.98266935	True	True	True
0.82993996	True	True	False
0.9999306	True	True	True
0.9965714	True	True	False
0.9867372	True	True	True
0.9991779	True	True	True
0.9999881	True	True	False
0.999985	True	True	False
0.91002357	True	False	False
