Confidence	TP_FP@25	TP_FP@50	TP_FP@75
0.99746394	True	True	True
0.9999962	True	True	True
0.999493	True	True	True
0.9999833	True	True	True
0.99792224	True	True	True
0.9999927	True	True	True
0.93642503	True	True	True
0.9741684	True	True	True
0.99973327	True	True	True
0.9988746	True	True	True
0.9991794	True	True	True
0.9979791	True	True	True
0.99922276	True	True	True
0.99941504	True	True	True
0.99735236	True	True	True
0.9994079	True	True	True
0.9731899	True	True	True
0.9986299	True	True	True
0.99959046	True	True	True
0.9999893	True	True	True
0.8486381	True	False	False
0.7136647	False	False	False
0.9474059	True	True	False
0.9980761	True	True	False
0.99923515	True	True	True
0.99988306	True	True	False
0.99754924	True	True	False
0.89165366	True	False	False
0.9999043	True	True	True
0.9999999	True	True	True
0.78799003	False	False	False
0.9999484	True	True	True
0.99997485	True	True	True
0.9985638	True	True	True
0.9999989	True	True	True
0.9999924	True	True	True
0.9998288	True	True	True
0.99986005	True	True	True
0.9989672	True	True	False
0.9999925	True	True	True
0.7363813	False	False	False
0.7408888	False	False	False
0.9998154	True	True	True
0.99821955	True	True	True
0.9993498	True	True	True
0.9999876	True	True	False
0.97969806	True	True	True
0.9993062	True	True	False
0.99937564	True	True	True
0.9859984	False	False	False
0.9920556	True	True	True
0.9999975	True	True	True
0.99999	True	True	True
0.99962425	True	True	True
1.0	True	True	True
0.8752276	True	True	False
0.9995478	True	True	True
0.99987197	True	True	True
0.99976605	True	True	True
0.9998945	True	True	True
0.999985	True	True	False
0.9886424	True	True	False
0.76862204	False	False	False
0.9992292	True	True	True
0.99933416	True	True	True
0.9046393	False	False	False
0.98089397	True	False	False
0.99865425	True	True	True
0.9995877	True	True	True
0.9999888	True	True	True
0.99957937	True	True	True
0.9982431	True	True	True
0.9990546	True	True	True
0.9991222	True	True	True
0.9988165	True	False	False
0.84866786	False	False	False
0.99999475	True	True	True
0.9999596	True	True	True
0.9938385	True	True	True
0.9995547	True	True	True
0.99999046	True	True	True
0.99836	True	True	True
0.9997441	True	True	True
0.99907374	True	True	True
0.9999726	True	True	True
0.9994685	True	True	True
0.9992742	True	True	True
0.99989307	True	True	True
0.99974734	True	True	True
0.99999964	True	True	True
0.9999498	True	True	True
0.9985868	True	True	True
0.9999074	True	True	True
0.99917465	True	True	True
0.92573357	True	True	False
0.99971837	True	True	True
0.98303795	True	True	True
0.9999908	True	True	True
0.9984524	True	True	True
0.99998724	True	True	True
0.9995135	True	True	True
0.9999976	True	True	False
