Confidence	TP_FP@25	TP_FP@50	TP_FP@75
0.98058164	True	True	True
0.95608604	True	True	True
0.95084137	True	True	True
0.9488874	True	True	True
0.9266405	True	True	True
0.63152164	True	True	False
0.5215568	False	False	False
0.7044525	True	True	True
0.5651924	True	True	True
0.99977845	True	True	True
0.9012691	True	True	False
0.8852858	True	True	True
0.99937844	True	True	True
0.9992505	True	True	True
0.9998604	True	True	True
0.9998062	True	True	True
0.9994708	True	True	True
0.99996305	True	True	True
0.9825838	True	True	True
0.9786435	True	True	True
0.83973545	True	True	True
0.5896365	True	True	True
0.99387014	True	True	True
0.99124146	True	True	True
0.9920975	True	True	True
0.87424994	True	True	False
0.6958959	True	True	False
0.9894051	True	True	True
0.9916402	True	True	False
0.98484427	True	True	False
0.96017563	True	True	False
0.999995	True	True	True
0.6125432	True	True	True
0.90885884	True	True	False
0.89372486	True	True	True
0.9668364	True	True	False
0.8328392	True	True	True
0.99980766	True	True	True
0.9990963	True	True	True
0.99767584	True	True	True
0.596262	True	True	False
0.51352996	False	False	False
0.998784	True	True	True
0.57780945	True	True	True
0.9995252	True	True	True
0.76562166	True	True	False
0.93661934	True	True	True
0.7334339	True	True	False
0.9654109	True	True	True
0.9291456	True	True	True
0.85382557	True	True	True
0.94268006	True	True	True
0.92600083	True	True	True
0.8586778	True	True	True
0.65051794	True	True	True
0.99193937	True	True	False
0.9644875	True	True	True
0.5881635	True	True	True
0.7414092	True	True	False
0.9949233	True	True	True
0.92047155	True	True	False
0.7454401	True	True	False
0.7416323	True	False	False
0.7164981	True	True	True
0.5235553	True	True	False
0.7817929	True	True	False
0.5488475	True	True	False
0.99674666	True	True	True
0.9101334	True	True	True
0.6078678	True	True	True
0.9118148	True	True	False
0.82520896	True	True	False
0.7018675	True	True	False
0.686453	True	True	False
0.6006788	True	True	True
0.9999975	True	True	True
0.9762224	True	True	True
0.6048992	True	True	True
0.6479423	True	True	True
0.9853196	True	True	True
0.9181422	True	True	True
0.86224264	True	True	False
0.8553631	True	True	True
0.84991187	True	True	True
0.84671116	True	True	True
0.8300153	True	True	True
0.7949284	True	True	True
0.76738286	True	True	True
0.59494936	True	True	True
0.9896617	True	True	False
0.96083695	True	True	True
0.8656461	True	True	True
0.94323504	True	True	True
0.85976523	True	True	False
0.78840375	True	True	True
0.59911317	True	True	True
0.9999118	True	True	True
0.99937576	True	True	True
0.51584315	True	True	True
0.98775405	True	True	True
0.942171	True	True	True
0.9712205	True	True	False
0.8117226	True	True	True
0.571261	True	True	False
0.99999046	True	True	True
0.9795598	True	True	True
0.5743592	True	True	True
0.99689436	True	True	True
0.5585436	True	True	False
0.5520447	True	True	True
0.90425193	True	True	False
0.86852944	True	True	True
0.9855897	True	True	True
0.96666723	True	True	False
0.52703536	True	True	False
0.9825335	True	True	True
0.9742639	True	True	True
0.97088706	True	True	True
0.7427862	True	True	True
0.97303504	True	True	True
0.9943404	True	True	True
0.99997044	True	True	True
0.9841673	True	True	True
0.9728008	True	True	True
0.95624036	True	True	True
0.94628316	True	True	True
0.93993735	True	True	True
0.71487385	True	True	True
0.99718755	True	True	True
0.9878131	True	True	False
0.97635704	True	True	False
0.95856965	True	True	True
0.7851498	True	True	True
0.72681934	True	True	True
0.70182383	True	True	True
0.6836419	True	True	True
0.59255433	True	True	False
0.6020139	True	True	True
0.5140913	True	True	False
0.8181288	True	True	True
