Confidence	TP_FP@25	TP_FP@50	TP_FP@75
420.30722	True	True	True
311.42374	True	True	True
411.08524	True	True	True
113.90194	True	True	True
245.58755	True	True	True
290.56403	True	True	True
242.2723	True	True	True
475.5054	True	True	True
1329.3865	True	True	True
174.86813	True	True	False
90.18431	True	True	True
540.0559	True	True	False
468.9203	True	True	True
541.5392	True	True	True
489.82394	True	True	False
426.40286	True	True	True
469.20386	True	True	True
433.42252	True	True	True
129.10307	True	True	True
125.16652	True	True	True
124.13147	True	True	False
135.96756	True	True	True
115.807884	True	True	True
111.63373	True	True	True
138.11655	True	True	True
143.69717	True	True	True
762.96704	True	True	False
325.1729	True	True	True
306.04822	True	True	True
311.16385	True	True	True
315.33948	True	True	True
330.40976	True	True	True
349.67255	True	True	False
430.94034	True	True	False
367.3624	True	True	False
238.43292	True	True	False
373.08142	True	True	False
556.4574	True	True	False
267.21674	True	True	True
129.96378	True	True	True
120.02496	True	True	True
127.98633	True	True	False
534.7684	True	True	True
465.8891	True	True	True
405.42987	True	True	False
565.9891	True	True	False
507.12463	True	True	True
616.3606	True	True	True
398.47403	True	True	False
560.7331	True	True	False
529.32367	True	True	False
660.38007	True	True	False
500.54608	False	False	False
943.6821	True	True	True
1018.88245	True	True	True
993.03937	True	False	False
260.73172	True	True	True
372.07938	True	True	True
613.1747	True	True	True
963.56714	False	False	False
375.52878	True	True	True
324.92084	True	True	True
396.12524	True	True	True
621.4284	True	True	True
242.0839	True	True	True
244.62936	True	True	True
300.83545	True	True	True
257.68707	True	True	True
203.77658	True	True	True
294.96786	True	True	True
349.98364	True	True	True
556.52783	False	False	False
242.36661	True	True	True
972.1028	False	False	False
170.89026	True	True	True
157.58365	True	True	False
258.92645	True	True	False
956.7155	True	True	True
770.4849	False	False	False
989.60785	True	True	False
246.00821	True	True	False
439.2989	True	True	False
205.28052	True	True	True
207.59946	True	True	True
1022.1953	True	True	True
469.00183	False	False	False
354.449	True	True	True
230.71765	True	True	False
199.45969	True	True	True
240.94661	True	True	True
424.97308	True	True	True
171.48776	True	True	True
200.991	True	True	True
237.5474	True	True	True
159.01187	True	True	True
152.97325	True	True	True
159.56625	True	True	True
247.52069	True	True	True
282.00085	True	True	True
212.0078	True	True	True
768.1795	True	True	True
174.3201	True	True	True
273.54538	True	True	True
239.15262	True	True	False
295.07993	True	True	False
316.5614	True	True	True
279.0169	True	True	True
209.789	True	True	True
