Confidence	TP_FP@25	TP_FP@50	TP_FP@75
420.30722	True	True	True
311.42374	True	True	True
411.08524	True	True	True
113.90194	True	True	True
245.58755	True	True	True
290.56403	True	True	True
242.2723	True	True	True
475.5054	True	True	True
1329.3865	True	True	True
174.86813	True	True	False
129.10307	True	True	True
125.16652	True	True	True
124.13147	True	True	False
135.96756	True	True	True
115.807884	True	True	True
138.11655	True	True	True
143.69717	True	True	True
430.94034	True	True	False
556.4574	True	True	False
267.21674	True	True	True
129.96378	True	True	True
120.02496	True	True	True
127.98633	True	True	False
565.9891	True	True	False
616.3606	True	True	True
560.7331	True	True	False
660.38007	True	True	False
943.6821	True	True	True
1018.88245	True	True	True
993.03937	True	False	False
372.07938	True	True	True
613.1747	True	True	True
963.56714	False	False	False
375.52878	True	True	True
324.92084	True	True	True
396.12524	True	True	True
621.4284	True	True	True
242.0839	True	True	True
244.62936	True	True	True
300.83545	True	True	True
257.68707	True	True	True
203.77658	True	True	True
294.96786	True	True	True
349.98364	True	True	True
556.52783	False	False	False
242.36661	True	True	True
972.1028	False	False	False
170.89026	True	True	True
157.58365	True	True	False
258.92645	True	True	False
956.7155	True	True	True
770.4849	False	False	False
989.60785	True	True	False
246.00821	True	True	False
439.2989	True	True	False
205.28052	True	True	True
207.59946	True	True	True
1022.1953	True	True	True
469.00183	False	False	False
354.449	True	True	True
240.94661	True	True	True
424.97308	True	True	True
200.991	True	True	True
237.5474	True	True	True
282.00085	True	True	True
174.3201	True	True	True
316.5614	True	True	True
279.0169	True	True	True
209.789	True	True	True
295.26395	True	True	False
340.55304	True	True	False
346.78937	True	True	False
311.37286	True	True	True
374.1978	True	True	True
450.09088	True	True	True
1343.4121	False	False	False
520.58606	True	True	True
177.02786	True	True	False
181.65997	True	True	False
811.7179	True	True	True
343.10974	True	True	True
433.583	True	True	False
852.9009	False	False	False
536.33136	True	True	True
281.17102	True	True	True
444.28967	True	True	False
278.81262	True	True	True
334.13022	True	True	True
278.61893	True	True	True
173.82852	True	True	True
139.61694	True	True	True
389.59882	True	True	False
430.04926	True	True	False
552.12	True	True	True
382.06558	True	True	True
381.2093	True	True	True
450.78378	True	True	True
374.9813	True	True	False
383.3177	True	True	True
300.47406	True	True	True
291.11646	True	True	True
115.600624	True	True	True
277.73697	True	True	True
644.7224	True	True	True
451.03378	True	True	True
338.65762	True	True	True
91.76384	True	True	False
426.1483	True	True	True
